humidity,original_timestamp,processing_timestamp,sensor_id,source_partition,status,temperature,type
40.13,2025-04-11T07:19:56.284753,2025-04-11T07:19:56.289832,sensor_5,0,Normal,19.95,sensor
52.97,2025-04-11T07:19:59.300137,2025-04-11T07:19:59.306265,sensor_2,2,Normal,23.55,sensor
52.01,2025-04-11T07:20:00.306689,2025-04-11T07:20:00.311448,sensor_5,0,Normal,20.95,sensor
41.13,2025-04-11T07:20:01.311629,2025-04-11T07:20:01.313847,sensor_2,2,Normal,22.52,sensor
58.08,2025-04-11T07:20:06.339094,2025-04-11T07:20:06.343238,sensor_1,2,Normal,21.52,sensor
58.83,2025-04-11T07:20:07.344289,2025-04-11T07:20:07.348280,sensor_5,2,Low,18.18,sensor
48.02,2025-04-11T07:20:09.355858,2025-04-11T07:20:09.362732,sensor_1,1,Normal,23.34,sensor
40.99,2025-04-11T07:20:10.365179,2025-04-11T07:20:10.372125,sensor_3,1,Warning,24.91,sensor
52.59,2025-04-11T07:20:12.386718,2025-04-11T07:20:12.394727,sensor_4,2,Normal,20.07,sensor
40.81,2025-04-11T07:20:13.395824,2025-04-11T07:20:13.397845,sensor_4,0,Normal,20.66,sensor
47.67,2025-04-11T07:20:15.412730,2025-04-11T07:20:15.420781,sensor_2,2,Low,18.52,sensor
50.97,2025-04-11T07:20:21.460772,2025-04-11T07:20:21.470040,sensor_3,2,Normal,19.91,sensor
58.94,2025-04-11T07:20:24.491625,2025-04-11T07:20:24.501856,sensor_5,0,Warning,24.39,sensor
45.6,2025-04-11T07:20:25.505194,2025-04-11T07:20:25.506906,sensor_2,0,Low,18.38,sensor
56.58,2025-04-11T07:20:26.511006,2025-04-11T07:20:26.519965,sensor_5,1,Normal,22.63,sensor
53.79,2025-04-11T07:20:28.535786,2025-04-11T07:20:28.546918,sensor_2,1,Warning,24.82,sensor
52.94,2025-04-11T07:20:29.545542,2025-04-11T07:20:29.553036,sensor_2,1,Normal,22.17,sensor
48.73,2025-04-11T07:20:30.553727,2025-04-11T07:20:30.558593,sensor_2,1,Warning,24.63,sensor
44.24,2025-04-11T07:20:32.568377,2025-04-11T07:20:32.570859,sensor_1,2,Warning,24.82,sensor
50.93,2025-04-11T07:20:38.619091,2025-04-11T07:20:38.627503,sensor_2,2,Normal,20.87,sensor
50.24,2025-04-11T07:20:39.632115,2025-04-11T07:20:39.639537,sensor_1,1,Normal,23.94,sensor
42.66,2025-04-11T07:20:41.649090,2025-04-11T07:20:41.657581,sensor_4,1,Normal,20.29,sensor
45.55,2025-04-11T07:20:43.662263,2025-04-11T07:20:43.663956,sensor_4,2,Warning,24.53,sensor
44.28,2025-04-11T07:20:46.689228,2025-04-11T07:20:46.698510,sensor_1,2,Normal,22.76,sensor
48.41,2025-04-11T07:20:47.699312,2025-04-11T07:20:47.800398,sensor_4,0,Normal,22.38,sensor
53.51,2025-04-11T07:20:48.706619,2025-04-11T07:20:48.714893,sensor_2,0,Normal,19.58,sensor
44.66,2025-04-11T07:20:49.716021,2025-04-11T07:20:49.718037,sensor_4,2,Normal,19.01,sensor
59.34,2025-04-11T07:20:51.733004,2025-04-11T07:20:51.742521,sensor_5,1,Normal,20.1,sensor
49.81,2025-04-11T07:20:52.743225,2025-04-11T07:20:52.745091,sensor_5,2,Normal,20.45,sensor
50.75,2025-04-11T07:20:55.768032,2025-04-11T07:20:55.775086,sensor_2,0,Low,18.27,sensor
47.3,2025-04-11T07:20:56.776167,2025-04-11T07:20:56.784497,sensor_1,1,Normal,19.47,sensor
55.29,2025-04-11T07:20:57.786066,2025-04-11T07:20:57.793294,sensor_3,0,Warning,24.47,sensor
53.51,2025-04-11T07:21:04.835331,2025-04-11T07:21:04.837287,sensor_4,0,Normal,23.05,sensor
59.03,2025-04-11T07:21:05.838310,2025-04-11T07:21:05.843589,sensor_1,2,Normal,21.15,sensor
43.83,2025-04-11T07:21:06.847692,2025-04-11T07:21:06.854889,sensor_1,2,Normal,23.41,sensor
54.1,2025-04-11T07:21:07.855425,2025-04-11T07:21:07.863449,sensor_5,0,Normal,20.78,sensor
43.0,2025-04-11T07:21:12.890077,2025-04-11T07:21:12.899456,sensor_1,0,Normal,19.1,sensor
55.97,2025-04-11T07:21:13.900309,2025-04-11T07:21:13.902584,sensor_2,2,Normal,23.71,sensor
55.54,2025-04-11T07:21:14.903678,2025-04-11T07:21:14.914127,sensor_4,1,Normal,23.86,sensor
42.77,2025-04-11T07:21:15.915205,2025-04-11T07:21:15.922177,sensor_4,2,Low,18.05,sensor
59.87,2025-04-11T07:21:16.925359,2025-04-11T07:21:16.935099,sensor_2,0,Normal,21.74,sensor
48.6,2025-04-11T07:21:20.962144,2025-04-11T07:21:20.970647,sensor_5,1,Low,18.11,sensor
52.25,2025-04-11T07:21:21.973715,2025-04-11T07:21:21.986229,sensor_3,2,Normal,22.24,sensor
52.08,2025-04-11T07:21:22.988058,2025-04-11T07:21:22.990378,sensor_1,1,Normal,23.64,sensor
56.84,2025-04-11T07:21:24.998514,2025-04-11T07:21:25.212243,sensor_5,0,Low,18.32,sensor
41.49,2025-04-11T07:21:29.041055,2025-04-11T07:21:29.048347,sensor_5,2,Normal,21.45,sensor
46.11,2025-04-11T07:21:30.049602,2025-04-11T07:21:30.057559,sensor_5,1,Normal,19.47,sensor
54.01,2025-04-11T07:21:33.070738,2025-04-11T07:21:33.081224,sensor_2,0,Normal,23.6,sensor
45.16,2025-04-11T07:21:36.095604,2025-04-11T07:21:36.104104,sensor_3,1,Normal,22.03,sensor
49.24,2025-04-11T07:21:37.105211,2025-04-11T07:21:37.113565,sensor_4,1,Normal,19.07,sensor
55.11,2025-04-11T07:21:42.150346,2025-04-11T07:21:42.160143,sensor_1,0,Normal,19.73,sensor
49.29,2025-04-11T07:21:43.160712,2025-04-11T07:21:43.170619,sensor_4,1,Normal,19.86,sensor
50.19,2025-04-11T07:21:44.170925,2025-04-11T07:21:44.179069,sensor_1,2,Normal,22.2,sensor
47.98,2025-04-11T07:21:46.194735,2025-04-11T07:21:46.202039,sensor_2,2,Normal,22.15,sensor
47.65,2025-04-11T07:21:49.222931,2025-04-11T07:21:49.229891,sensor_2,1,Normal,21.13,sensor
58.9,2025-04-11T07:21:51.244397,2025-04-11T07:21:51.252932,sensor_1,2,Warning,24.15,sensor
50.47,2025-04-11T07:21:52.253754,2025-04-11T07:21:52.263204,sensor_1,2,Normal,19.25,sensor
59.82,2025-04-11T07:21:53.263798,2025-04-11T07:21:53.271693,sensor_4,0,Warning,24.86,sensor
40.31,2025-04-11T07:21:54.271879,2025-04-11T07:21:54.275526,sensor_2,2,Normal,19.14,sensor
43.59,2025-04-11T07:21:58.301586,2025-04-11T07:21:58.308836,sensor_4,2,Normal,22.33,sensor
55.74,2025-04-11T07:21:59.309699,2025-04-11T07:21:59.311363,sensor_1,2,Normal,20.48,sensor
52.52,2025-04-11T07:22:01.321732,2025-04-11T07:22:01.536129,sensor_3,2,Normal,19.88,sensor
52.48,2025-04-11T07:22:02.332920,2025-04-11T07:22:02.341746,sensor_3,2,Low,18.8,sensor
57.05,2025-04-11T07:22:03.341642,2025-04-11T07:22:03.347256,sensor_1,1,Low,18.87,sensor
41.44,2025-04-11T07:22:06.359948,2025-04-11T07:22:06.367166,sensor_5,2,Normal,20.76,sensor
55.41,2025-04-11T07:22:07.369371,2025-04-11T07:22:07.377404,sensor_4,1,Normal,23.26,sensor
54.52,2025-04-11T07:22:08.379403,2025-04-11T07:22:08.386061,sensor_5,0,Normal,22.56,sensor
41.37,2025-04-11T07:22:12.410897,2025-04-11T07:22:12.419444,sensor_5,0,Normal,23.61,sensor
48.66,2025-04-11T07:22:11.402035,2025-04-11T07:22:11.406364,sensor_1,2,Warning,24.81,sensor
43.42,2025-04-11T07:22:14.426902,2025-04-11T07:22:14.436069,sensor_1,2,Normal,20.92,sensor
40.84,2025-04-11T07:22:17.460844,2025-04-11T07:22:17.467265,sensor_3,1,Normal,23.71,sensor
45.87,2025-04-11T07:22:18.468765,2025-04-11T07:22:18.476087,sensor_1,1,Normal,19.71,sensor
41.73,2025-04-11T07:22:19.478075,2025-04-11T07:22:19.485120,sensor_5,2,Normal,19.65,sensor
43.64,2025-04-11T07:22:20.485645,2025-04-11T07:22:20.494023,sensor_2,2,Low,18.03,sensor
44.59,2025-04-11T07:22:21.494663,2025-04-11T07:22:21.502165,sensor_4,2,Low,18.56,sensor
40.54,2025-04-11T07:22:24.516444,2025-04-11T07:22:24.520605,sensor_3,2,Warning,24.99,sensor
50.61,2025-04-11T07:22:26.528482,2025-04-11T07:22:26.533297,sensor_4,2,Low,18.51,sensor
44.31,2025-04-11T07:22:29.547858,2025-04-11T07:22:29.553538,sensor_5,0,Normal,22.14,sensor
49.62,2025-04-11T07:22:30.554544,2025-04-11T07:22:30.559899,sensor_2,2,Normal,23.82,sensor
57.07,2025-04-11T07:22:32.566888,2025-04-11T07:22:32.572193,sensor_5,0,Normal,23.19,sensor
57.11,2025-04-11T07:22:33.572903,2025-04-11T07:22:33.585119,sensor_5,2,Warning,24.69,sensor
45.44,2025-04-11T07:22:34.585426,2025-04-11T07:22:34.589787,sensor_5,1,Normal,23.14,sensor
55.83,2025-04-11T07:22:37.604042,2025-04-11T07:22:37.609708,sensor_1,1,Normal,20.81,sensor
41.48,2025-04-11T07:22:39.617827,2025-04-11T07:22:39.621713,sensor_4,1,Warning,24.16,sensor
55.45,2025-04-11T07:22:40.623946,2025-04-11T07:22:40.628425,sensor_4,0,Normal,20.49,sensor
41.24,2025-04-11T07:22:41.629804,2025-04-11T07:22:41.635877,sensor_4,0,Normal,20.59,sensor
44.69,2025-04-11T07:22:47.670551,2025-04-11T07:22:47.673724,sensor_5,1,Normal,23.34,sensor
40.33,2025-04-11T07:22:50.692630,2025-04-11T07:22:50.700600,sensor_2,1,Normal,20.25,sensor
40.83,2025-04-11T07:22:54.721223,2025-04-11T07:22:54.728053,sensor_1,0,Normal,19.76,sensor
45.97,2025-04-11T07:22:56.735317,2025-04-11T07:22:56.743592,sensor_5,1,Warning,24.44,sensor
59.09,2025-04-11T07:22:59.759803,2025-04-11T07:22:59.768774,sensor_4,1,Normal,19.16,sensor
58.61,2025-04-11T07:23:00.769613,2025-04-11T07:23:00.773901,sensor_3,2,Normal,20.42,sensor
40.86,2025-04-11T07:23:03.789240,2025-04-11T07:23:03.797359,sensor_3,0,Normal,23.54,sensor
51.57,2025-04-11T07:23:04.799131,2025-04-11T07:23:04.806266,sensor_3,2,Warning,24.43,sensor
41.6,2025-04-11T07:23:05.806334,2025-04-11T07:23:05.809281,sensor_5,0,Warning,24.52,sensor
56.8,2025-04-11T07:23:11.853676,2025-04-11T07:23:11.862429,sensor_5,1,Normal,19.61,sensor
57.63,2025-04-11T07:23:16.892735,2025-04-11T07:23:17.104627,sensor_1,2,Low,18.83,sensor
56.85,2025-04-11T07:23:17.903891,2025-04-11T07:23:17.910401,sensor_3,2,Normal,21.61,sensor
48.67,2025-04-11T07:23:19.919844,2025-04-11T07:23:19.928899,sensor_4,0,Normal,23.38,sensor
47.51,2025-04-11T07:23:20.927863,2025-04-11T07:23:20.929671,sensor_2,1,Low,18.37,sensor
44.49,2025-04-11T07:23:21.930873,2025-04-11T07:23:21.939323,sensor_2,2,Warning,24.4,sensor
56.82,2025-04-11T07:23:22.939851,2025-04-11T07:23:22.947232,sensor_4,1,Normal,21.47,sensor
43.55,2025-04-11T07:23:23.947840,2025-04-11T07:23:23.954747,sensor_4,0,Warning,24.52,sensor
42.81,2025-04-11T07:23:24.955080,2025-04-11T07:23:24.966230,sensor_3,2,Low,18.48,sensor
47.47,2025-04-11T07:23:26.973240,2025-04-11T07:23:26.980415,sensor_5,2,Normal,21.43,sensor
53.17,2025-04-11T07:23:31.012850,2025-04-11T07:23:31.108851,sensor_2,0,Low,18.02,sensor
53.19,2025-04-11T07:23:33.028362,2025-04-11T07:23:33.036538,sensor_1,1,Normal,19.27,sensor
52.76,2025-04-11T07:23:35.047318,2025-04-11T07:23:35.051879,sensor_5,0,Normal,19.56,sensor
51.74,2025-04-11T07:23:38.073023,2025-04-11T07:23:38.080899,sensor_5,2,Normal,19.74,sensor
49.47,2025-04-11T07:23:41.099631,2025-04-11T07:23:41.106900,sensor_3,1,Low,18.03,sensor
56.07,2025-04-11T07:23:43.125310,2025-04-11T07:23:43.129520,sensor_3,2,Low,18.36,sensor
42.82,2025-04-11T07:23:48.169377,2025-04-11T07:23:48.176852,sensor_4,1,Normal,22.38,sensor
55.03,2025-04-11T07:23:49.176191,2025-04-11T07:23:49.185440,sensor_4,1,Warning,24.91,sensor
40.74,2025-04-11T07:23:50.186602,2025-04-11T07:23:50.194893,sensor_4,2,Warning,24.62,sensor
54.56,2025-04-11T07:23:51.195703,2025-04-11T07:23:51.199987,sensor_3,1,Normal,19.84,sensor
48.12,2025-04-11T07:23:53.215051,2025-04-11T07:23:53.222282,sensor_1,1,Low,18.41,sensor
47.0,2025-04-11T07:23:54.227646,2025-04-11T07:23:54.236810,sensor_2,2,Normal,20.81,sensor
53.0,2025-04-11T07:23:55.237432,2025-04-11T07:23:55.245807,sensor_5,1,Warning,24.05,sensor
41.96,2025-04-11T07:24:00.287000,2025-04-11T07:24:00.294303,sensor_5,2,Normal,19.75,sensor
41.83,2025-04-11T07:24:03.317282,2025-04-11T07:24:03.325298,sensor_3,1,Normal,20.74,sensor
51.58,2025-04-11T07:24:04.327224,2025-04-11T07:24:04.335853,sensor_2,2,Normal,19.42,sensor
55.83,2025-04-11T07:24:05.337793,2025-04-11T07:24:05.345583,sensor_4,2,Normal,20.88,sensor
45.36,2025-04-11T07:24:08.366873,2025-04-11T07:24:08.369046,sensor_1,0,Low,18.12,sensor
48.25,2025-04-11T07:24:10.383461,2025-04-11T07:24:10.390312,sensor_3,0,Normal,22.23,sensor
54.94,2025-04-11T07:24:13.409901,2025-04-11T07:24:13.418415,sensor_5,1,Low,18.26,sensor
59.48,2025-04-11T07:24:18.449817,2025-04-11T07:24:18.458212,sensor_2,2,Normal,20.98,sensor
49.83,2025-04-11T07:24:19.457767,2025-04-11T07:24:19.466277,sensor_5,1,Normal,21.31,sensor
43.6,2025-04-11T07:24:20.466831,2025-04-11T07:24:20.475113,sensor_5,0,Normal,19.59,sensor
51.3,2025-04-11T07:24:24.497894,2025-04-11T07:24:24.505306,sensor_2,0,Normal,19.45,sensor
49.65,2025-04-11T07:24:25.506128,2025-04-11T07:24:25.514409,sensor_4,2,Normal,23.01,sensor
54.65,2025-04-11T07:24:27.524660,2025-04-11T07:24:27.527457,sensor_4,0,Normal,22.0,sensor
56.69,2025-04-11T07:24:28.531082,2025-04-11T07:24:28.539559,sensor_5,1,Normal,20.82,sensor
46.88,2025-04-11T07:24:30.546813,2025-04-11T07:24:30.555417,sensor_5,2,Normal,21.47,sensor
44.39,2025-04-11T07:24:32.569460,2025-04-11T07:24:32.571308,sensor_5,0,Normal,22.86,sensor
50.37,2025-04-11T07:24:37.613021,2025-04-11T07:24:37.614803,sensor_3,2,Normal,22.05,sensor
57.59,2025-04-11T07:24:39.626978,2025-04-11T07:24:39.635878,sensor_5,1,Low,18.84,sensor
50.47,2025-04-11T07:24:41.644604,2025-04-11T07:24:41.652850,sensor_3,2,Normal,21.57,sensor
44.07,2025-04-11T07:24:42.652603,2025-04-11T07:24:42.655823,sensor_4,2,Normal,19.9,sensor
55.17,2025-04-11T07:24:45.674418,2025-04-11T07:24:45.680572,sensor_4,2,Normal,22.46,sensor
42.5,2025-04-11T07:24:46.680733,2025-04-11T07:24:46.689234,sensor_2,1,Warning,24.31,sensor
59.45,2025-04-11T07:24:48.701370,2025-04-11T07:24:48.708802,sensor_4,0,Low,18.08,sensor
47.68,2025-04-11T07:24:49.709627,2025-04-11T07:24:49.716623,sensor_3,0,Low,18.96,sensor
50.91,2025-04-11T07:24:50.717652,2025-04-11T07:24:50.726678,sensor_3,0,Low,18.9,sensor
51.78,2025-04-11T07:24:53.743588,2025-04-11T07:24:53.746927,sensor_3,0,Normal,21.78,sensor
53.01,2025-04-11T07:24:54.751752,2025-04-11T07:24:54.961866,sensor_1,1,Normal,20.3,sensor
53.3,2025-04-11T07:24:56.770568,2025-04-11T07:24:56.777878,sensor_3,2,Normal,21.8,sensor
54.73,2025-04-11T07:24:58.785624,2025-04-11T07:24:58.793464,sensor_2,0,Normal,23.19,sensor
53.9,2025-04-11T07:25:02.812663,2025-04-11T07:25:02.817344,sensor_5,1,Normal,23.65,sensor
46.57,2025-04-11T07:25:04.823018,2025-04-11T07:25:04.829829,sensor_3,0,Normal,22.9,sensor
56.01,2025-04-11T07:25:05.830597,2025-04-11T07:25:05.835659,sensor_5,1,Normal,24.0,sensor
45.33,2025-04-11T07:25:07.842314,2025-04-11T07:25:07.848078,sensor_1,1,Normal,19.81,sensor
52.2,2025-04-11T07:25:08.848652,2025-04-11T07:25:08.853356,sensor_3,0,Normal,19.82,sensor
55.09,2025-04-11T07:25:11.869260,2025-04-11T07:25:11.875209,sensor_1,0,Warning,24.74,sensor
51.38,2025-04-11T07:25:14.883293,2025-04-11T07:25:14.889234,sensor_5,2,Normal,21.68,sensor
46.34,2025-04-11T07:25:15.890077,2025-04-11T07:25:15.897517,sensor_5,1,Normal,23.7,sensor
48.32,2025-04-11T07:25:16.898747,2025-04-11T07:25:16.902861,sensor_5,0,Normal,21.77,sensor
58.95,2025-04-11T07:25:21.935046,2025-04-11T07:25:21.941723,sensor_2,0,Normal,23.54,sensor
54.94,2025-04-11T07:25:25.961408,2025-04-11T07:25:26.582755,sensor_2,1,Normal,21.13,sensor
59.2,2025-04-11T07:25:26.969052,2025-04-11T07:25:26.975859,sensor_3,0,Low,18.61,sensor
54.9,2025-04-11T07:25:28.989429,2025-04-11T07:25:28.997400,sensor_5,2,Low,18.8,sensor
51.84,2025-04-11T07:25:29.998729,2025-04-11T07:25:30.005441,sensor_5,2,Normal,19.21,sensor
55.86,2025-04-11T07:25:31.008485,2025-04-11T07:25:31.715395,sensor_2,1,Normal,20.99,sensor
51.68,2025-04-11T07:25:34.033194,2025-04-11T07:25:34.040723,sensor_5,1,Normal,22.44,sensor
44.24,2025-04-11T07:25:37.058982,2025-04-11T07:25:37.067170,sensor_1,0,Normal,19.58,sensor
44.6,2025-04-11T07:25:39.082957,2025-04-11T07:25:39.085899,sensor_4,2,Normal,23.66,sensor
43.09,2025-04-11T07:25:40.087777,2025-04-11T07:25:40.301087,sensor_4,2,Normal,20.74,sensor
58.6,2025-04-11T07:25:41.096736,2025-04-11T07:25:41.103132,sensor_1,2,Normal,19.95,sensor
55.32,2025-04-11T07:25:43.114421,2025-04-11T07:25:43.122278,sensor_2,1,Normal,19.02,sensor
58.15,2025-04-11T07:25:44.124524,2025-04-11T07:25:44.126624,sensor_1,0,Normal,23.77,sensor
43.2,2025-04-11T07:25:45.127251,2025-04-11T07:25:45.134629,sensor_3,0,Normal,21.46,sensor
40.45,2025-04-11T07:25:46.135325,2025-04-11T07:25:46.143570,sensor_5,1,Normal,20.3,sensor
57.0,2025-04-11T07:25:48.158656,2025-04-11T07:25:48.165229,sensor_4,0,Normal,21.55,sensor
58.56,2025-04-11T07:25:49.165787,2025-04-11T07:25:49.167751,sensor_2,1,Normal,21.29,sensor
52.23,2025-04-11T07:25:50.168651,2025-04-11T07:25:50.177435,sensor_5,1,Normal,23.76,sensor
44.4,2025-04-11T07:25:51.177417,2025-04-11T07:25:51.184985,sensor_1,1,Normal,21.46,sensor
50.52,2025-04-11T07:25:52.186623,2025-04-11T07:25:52.195072,sensor_1,0,Normal,21.68,sensor
44.2,2025-04-11T07:25:53.196637,2025-04-11T07:25:53.204218,sensor_5,1,Normal,21.82,sensor
45.98,2025-04-11T07:25:54.204341,2025-04-11T07:25:54.207466,sensor_1,0,Normal,21.06,sensor
43.08,2025-04-11T07:25:55.208518,2025-04-11T07:25:55.216862,sensor_2,1,Normal,22.5,sensor
58.23,2025-04-11T07:26:00.257140,2025-04-11T07:26:00.263728,sensor_1,0,Normal,21.19,sensor
52.85,2025-04-11T07:26:01.264815,2025-04-11T07:26:01.272383,sensor_4,0,Normal,19.56,sensor
55.82,2025-04-11T07:26:02.272940,2025-04-11T07:26:02.278676,sensor_3,0,Normal,20.31,sensor
42.06,2025-04-11T07:26:03.279437,2025-04-11T07:26:03.283626,sensor_4,0,Low,18.2,sensor
41.64,2025-04-11T07:26:05.293234,2025-04-11T07:26:05.295689,sensor_3,2,Warning,24.06,sensor
47.75,2025-04-11T07:26:07.304718,2025-04-11T07:26:07.312308,sensor_4,2,Low,18.23,sensor
50.82,2025-04-11T07:26:08.316293,2025-04-11T07:26:08.323150,sensor_5,2,Normal,20.73,sensor
43.97,2025-04-11T07:26:09.323293,2025-04-11T07:26:09.329715,sensor_5,0,Normal,21.44,sensor
52.49,2025-04-11T07:26:13.357704,2025-04-11T07:26:13.364295,sensor_1,1,Normal,22.26,sensor
57.4,2025-04-11T07:26:15.378898,2025-04-11T07:26:15.388079,sensor_1,2,Low,18.34,sensor
52.12,2025-04-11T07:26:16.389053,2025-04-11T07:26:17.093802,sensor_5,0,Low,18.81,sensor
46.94,2025-04-11T07:26:17.400339,2025-04-11T07:26:17.407366,sensor_2,0,Normal,21.25,sensor
57.0,2025-04-11T07:26:18.410902,2025-04-11T07:26:18.414851,sensor_1,1,Normal,22.32,sensor
55.86,2025-04-11T07:26:19.418072,2025-04-11T07:26:19.425836,sensor_1,0,Low,18.63,sensor
41.04,2025-04-11T07:26:20.429070,2025-04-11T07:26:20.430698,sensor_3,0,Normal,21.4,sensor
57.81,2025-04-11T07:26:22.440310,2025-04-11T07:26:22.446972,sensor_5,1,Normal,21.87,sensor
42.79,2025-04-11T07:26:24.455247,2025-04-11T07:26:24.461727,sensor_3,1,Normal,23.51,sensor
48.75,2025-04-11T07:26:28.492838,2025-04-11T07:26:29.506304,sensor_1,0,Normal,20.82,sensor
52.05,2025-04-11T07:26:30.506655,2025-04-11T07:26:30.512884,sensor_5,0,Normal,19.57,sensor
59.73,2025-04-11T07:26:32.522804,2025-04-11T07:26:32.528545,sensor_3,2,Normal,19.65,sensor
59.19,2025-04-11T07:26:33.532652,2025-04-11T07:26:33.539125,sensor_4,0,Low,18.4,sensor
43.69,2025-04-11T07:26:35.555530,2025-04-11T07:26:35.561208,sensor_3,1,Normal,19.47,sensor
46.21,2025-04-11T07:26:36.563569,2025-04-11T07:26:36.565099,sensor_3,0,Normal,23.33,sensor
57.42,2025-04-11T07:26:40.591095,2025-04-11T07:26:40.598349,sensor_1,2,Normal,19.27,sensor
47.68,2025-04-11T07:26:45.628558,2025-04-11T07:26:45.631266,sensor_4,1,Normal,20.65,sensor
43.58,2025-04-11T07:26:46.632577,2025-04-11T07:26:46.664374,sensor_5,1,Normal,22.26,sensor
57.76,2025-04-11T07:26:48.673808,2025-04-11T07:26:48.679709,sensor_5,0,Normal,19.49,sensor
41.91,2025-04-11T07:26:50.687261,2025-04-11T07:26:50.691833,sensor_3,2,Normal,19.56,sensor
55.4,2025-04-11T07:26:51.692528,2025-04-11T07:26:51.709197,sensor_3,1,Normal,21.25,sensor
43.55,2025-04-11T07:26:52.711137,2025-04-11T07:26:53.215751,sensor_4,2,Normal,22.09,sensor
43.39,2025-04-11T07:26:53.718237,2025-04-11T07:26:54.229417,sensor_3,1,Normal,22.17,sensor
49.51,2025-04-11T07:26:55.733536,2025-04-11T07:26:55.735446,sensor_2,2,Normal,23.12,sensor
55.21,2025-04-11T07:26:56.740607,2025-04-11T07:26:56.957190,sensor_4,1,Normal,23.58,sensor
41.06,2025-04-11T07:26:59.767663,2025-04-11T07:26:59.775277,sensor_1,1,Normal,20.85,sensor
55.08,2025-04-11T07:27:03.792744,2025-04-11T07:27:03.794391,sensor_5,2,Low,18.75,sensor
42.93,2025-04-11T07:27:04.795835,2025-04-11T07:27:04.803835,sensor_4,2,Normal,22.58,sensor
47.17,2025-04-11T07:27:07.815561,2025-04-11T07:27:07.817103,sensor_1,2,Normal,19.3,sensor
53.17,2025-04-11T07:27:10.838566,2025-04-11T07:27:10.840855,sensor_1,0,Normal,22.31,sensor
53.06,2025-04-11T07:27:11.841756,2025-04-11T07:27:11.849068,sensor_3,1,Low,18.6,sensor
42.57,2025-04-11T07:27:12.852248,2025-04-11T07:27:12.859228,sensor_2,1,Normal,21.43,sensor
54.28,2025-04-11T07:29:17.864200,2025-04-11T07:29:18.082003,sensor_5,2,Normal,22.78,sensor
59.85,2025-04-11T07:29:19.083419,2025-04-11T07:29:19.085232,sensor_4,1,Normal,21.69,sensor
57.52,2025-04-11T07:29:23.116393,2025-04-11T07:29:23.126604,sensor_2,1,Warning,24.1,sensor
59.05,2025-04-11T07:29:22.109269,2025-04-11T07:29:22.808338,sensor_5,1,Normal,22.71,sensor
